Date,Close,High,Low,Open,Volume,Ticker
2025-06-23,200.70376586914062,201.50060768152076,198.17380945321412,200.83325703321927,55814300,AAPL
2025-06-24,199.5084991455078,202.63609053842802,199.40888822531906,201.78944331230142,54064000,AAPL
2025-06-25,200.76351928710938,202.8651820841085,199.82723133036671,200.65395335177794,39525700,AAPL
2025-06-26,200.2057647705078,201.8392838353224,198.6718566431861,200.63405836503767,50799100,AAPL
2025-06-27,200.2854461669922,202.41698947637084,199.20971189891864,201.09224306842364,73188600,AAPL
2025-06-30,204.3592529296875,206.57048164253425,198.4726031076903,201.211736268348,91912800,AAPL
2025-07-01,206.99879455566406,209.35942450018746,205.3254252695324,205.85332972802502,78788900,AAPL
2025-07-02,211.6005401611328,212.49697770796604,207.31752868499885,208.08449026524102,67941800,AAPL
2025-07-03,212.70614624023438,213.8017903991559,210.97301649264048,211.31166931275297,34955800,AAPL
2025-07-07,209.12037658691406,215.37555986284275,207.97492690746134,211.83958469799765,50229000,AAPL
2025-07-08,209.1801300048828,210.59451698338924,207.6262968509882,209.26978591644843,42848900,AAPL
2025-07-09,210.30567932128906,210.49493096772343,206.40117103180637,208.7020406311003,48749400,AAPL
2025-07-10,211.57064819335938,212.6364120977978,209.2000480941239,209.678147079363,44443600,AAPL
2025-07-11,210.3256072998047,211.29177557167307,209.03074119537857,209.73794232575938,39765800,AAPL
2025-07-14,207.7956085205078,210.07656782568804,206.719874444485,209.10042946873696,38840100,AAPL
2025-07-15,208.28369140625,211.05270487364396,208.09443976951917,208.39325734338402,42296300,AAPL
2025-07-16,209.3295440673828,211.5606828488181,207.8155461810567,209.4689902412225,47490500,AAPL
2025-07-17,209.19009399414062,210.96305897069354,208.761785269157,209.7379236663323,48068100,AAPL
2025-07-18,210.3455047607422,210.95309492429405,208.87135730762196,210.0367321724359,48974600,AAPL
2025-07-21,211.64036560058594,214.92732845073886,210.7937335563828,211.2618775331451,51377400,AAPL
2025-07-22,213.5527801513672,214.1006098348481,211.39135685335447,212.29776458434165,46404100,AAPL
2025-07-23,213.30377197265625,214.29982043425818,211.57065737650467,214.15041924441525,46989300,AAPL
2025-07-24,212.91531372070312,214.83769515517375,212.68622683006964,213.05475989741393,46022600,AAPL
2025-07-25,213.0348358154297,214.38946224202752,212.55672164240056,213.85158759699283,40268800,AAPL
2025-07-28,213.20419311523438,214.00103498726418,212.21809958876685,213.18426788884761,37858000,AAPL
2025-07-29,210.43516540527344,213.96117031669576,209.9869466315705,213.33365491441555,51411700,AAPL
2025-07-30,208.22393798828125,211.5507362671114,206.89919168476044,211.06266703997414,45512500,AAPL
2025-07-31,206.74977111816406,209.0107900151974,206.34138763159262,207.6661338109758,80698400,AAPL
2025-08-01,201.58029174804688,212.73603143542957,200.7037642416869,210.03673342752194,104434500,AAPL
2025-08-04,202.5464630126953,207.0585613783641,200.88304868853191,203.70186769022786,75109300,AAPL
2025-08-05,202.11814880371094,204.52858421879685,201.36115745633876,202.59624780213056,44155100,AAPL
2025-08-06,212.40733337402344,214.52892145014,204.77759854868273,204.81744899810374,108483100,AAPL
2025-08-07,219.16053771972656,219.97730473834642,215.7241736307253,218.01508808955717,90224800,AAPL
2025-08-08,228.44371032714844,230.08718413442585,218.3836152444713,219.95737356583322,113854000,AAPL
2025-08-11,226.53909301757812,228.91238364576833,224.12592192869855,227.27701087414155,61806100,AAPL
2025-08-12,229.0021209716797,230.14888579943394,226.429412881848,227.36674823663387,55626200,AAPL
2025-08-13,232.6717529296875,234.33703985510917,229.77992501054072,230.4181341091737,69878500,AAPL
2025-08-14,232.123291015625,234.4566858681212,230.1987431425788,233.39967872378062,51916300,AAPL
2025-08-15,230.9366455078125,233.6190590405621,228.69299310222902,233.33985018068216,56038700,AAPL
2025-08-18,230.23863220214844,232.46233685580373,229.46083388892833,231.04634466466607,37476200,AAPL
2025-08-19,229.90956115722656,232.2130419457167,228.70298322789472,230.62753117126795,39402600,AAPL
2025-08-20,225.3723907470703,229.81981519856654,225.13307755654054,229.33119207499826,42263900,AAPL
2025-08-21,224.26553344726562,225.88097364743615,223.14869792378403,225.6316789169631,30621200,AAPL
